transcript_id	best.classification
TRINITY_DN145245_c6_g1_i2	Uncultured human fecal virus clone
TRINITY_DN145245_c6_g1_i5	Uncultured human fecal virus clone
TRINITY_DN143169_c2_g1_i6	Siphoviridae sp.
TRINITY_DN144771_c2_g7_i2	Siphoviridae sp.
TRINITY_DN137133_c9_g1_i1	Ruthenibacterium lactatiformans
TRINITY_DN143985_c1_g7_i1	Ruminococcus torques
TRINITY_DN138674_c4_g1_i1	Ruminococcus bicirculans
TRINITY_DN142562_c4_g9_i3	Ruminococcus bicirculans
TRINITY_DN142526_c5_g1_i7	Romboutsia ilealis
TRINITY_DN141713_c1_g2_i1	Pseudoclostridium thermosuccinogenes
TRINITY_DN141713_c1_g2_i3	Pseudoclostridium thermosuccinogenes
TRINITY_DN138312_c4_g6_i3	Phocaeicola vulgatus
TRINITY_DN137350_c1_g1_i5	Phocaeicola vulgatus
TRINITY_DN136118_c0_g1_i1	Phocaeicola
TRINITY_DN136903_c2_g1_i6	Phocaeicola
TRINITY_DN145291_c1_g1_i10	Phocaeicola
TRINITY_DN1091132_c10_g1_i1	Parabacteroides
TRINITY_DN130289_c0_g1_i1	Parabacteroides
TRINITY_DN134643_c0_g1_i1	Parabacteroides
TRINITY_DN143018_c44_g10_i2	Oscillospiraceae
TRINITY_DN145717_c0_g1_i3	Lachnospiraceae
TRINITY_DN136312_c3_g1_i18	Faecalibacterium prausnitzii
TRINITY_DN137096_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN137096_c3_g3_i1	Faecalibacterium prausnitzii
TRINITY_DN139116_c3_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN140874_c2_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN140874_c2_g1_i6	Faecalibacterium prausnitzii
TRINITY_DN140952_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN142174_c7_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN142178_c2_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN142590_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN142862_c0_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN143156_c8_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN143683_c0_g1_i8	Faecalibacterium prausnitzii
TRINITY_DN144474_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144558_c2_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN144633_c0_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144720_c1_g1_i6	Faecalibacterium prausnitzii
TRINITY_DN144747_c1_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN144754_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144811_c2_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN144823_c1_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN144974_c2_g2_i18	Faecalibacterium prausnitzii
TRINITY_DN145141_c0_g1_i13	Faecalibacterium prausnitzii
TRINITY_DN145261_c61_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN145264_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145389_c1_g1_i12	Faecalibacterium prausnitzii
TRINITY_DN145422_c2_g1_i12	Faecalibacterium prausnitzii
TRINITY_DN145458_c4_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145477_c0_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN145502_c1_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN145548_c1_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN145741_c0_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN145774_c5_g2_i5	Faecalibacterium prausnitzii
TRINITY_DN151468_c5_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN385865_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN92149_c2_g3_i1	Faecalibacterium prausnitzii
TRINITY_DN133076_c0_g4_i1	Escherichia coli
TRINITY_DN140586_c3_g1_i1	Dorea longicatena
TRINITY_DN135950_c1_g1_i1	Dorea formicigenerans
TRINITY_DN145655_c4_g1_i2	Coprococcus comes
TRINITY_DN134571_c44_g1_i3	Caudoviricetes sp.
TRINITY_DN145297_c11_g1_i1	Caudoviricetes sp.
TRINITY_DN138681_c7_g1_i1	Caudovirales
TRINITY_DN143020_c3_g1_i1	Caudovirales
TRINITY_DN102902_c0_g1_i1	Blautia wexlerae
TRINITY_DN131740_c0_g1_i1	Blautia wexlerae
TRINITY_DN142969_c1_g1_i4	Blautia wexlerae
TRINITY_DN139333_c4_g6_i1	Bacteroides uniformis
TRINITY_DN144384_c5_g1_i3	Bacteroides caccae
TRINITY_DN137631_c5_g1_i2	Bacteroides
TRINITY_DN142922_c7_g5_i2	Bacteroides
TRINITY_DN144291_c5_g7_i1	Bacteroides
TRINITY_DN144415_c2_g1_i4	Bacteroides
TRINITY_DN144673_c2_g1_i6	Bacteroides
TRINITY_DN145252_c3_g1_i1	Bacteroides
TRINITY_DN145839_c0_g1_i20	Bacteroides
TRINITY_DN138200_c2_g1_i1	Bacteroidaceae
