sequence	Net charge at pH 7
00028	-1.2793805862658933
00035	5.753108607196298
00145	3.712970868034336
00199	1.913452468577662
00204	2.794773848951838
00205	2.8819480372064246
00206	1.7104101226704609
00207	7.362479618275591
00480	-1.1519117375809023
00499	-0.26601161004484764
00529	0.7985833119240486
00530	1.6814864364631004
00590	-1.2793805862658933
00594	4.180434585938384
00631	3.7344273879381213
00632	2.7354263889371224
00633	1.9107737664452968
00634	2.977146973502863
00635	1.913452468577662
00636	1.862873713863069
00637	2.7748670658332713
00673	2.7012784167611192
00674	-1.1994186860779497
00726	-0.23989838581069733
00766	-0.15249067757442392
00767	3.7299823860591474
00768	5.026153912538754
00807	2.819990212272484
00841	3.438895575173013
00842	2.3527203879174268
00843	2.35284214785827
00844	2.977146973502863
00845	3.8226005771917095
00846	3.7344273879381213
00847	2.7354263889371224
00848	1.9107737664452968
00849	-0.5325627577447012
00850	0.9790232155600214
00851	2.97702521356202
00852	4.888842024408431
00853	0.8648617159610699
00854	3.860165012030701
00865	1.5344696333340666
00923	1.862873713863069
00927	-2.237843404954801
00928	-2.2655483732538286
00929	5.502585526643175
00930	-0.03263225665530367
00931	2.7564608901158287
00932	-0.15249067757442392
00995	-0.23709792373748817
00996	-2.1586939647420653
00997	2.794773848951838
00998	1.8770547701146685
01000	-1.092442517625343
01001	0.8193642933210672
01002	1.7184896518952604
01003	1.7175006507962602
01004	-2.2458681529966524
01131	7.492988598500753
01137	-1.2793805862658933
01138	-1.2793805862658933
01151	3.845613080568416
01152	4.543548163557868
01154	2.7920473227568205
01155	2.921228324037263
01156	1.843279798447886
01165	-3.241745676730127
01167	4.840272795550883
01168	3.7569180701685077
01169	1.8245885792897099
01170	0.8257193401295555
01171	0.8247203391305544
01172	1.7392906330922813
01173	1.7392906330922813
01174	0.8282762823210774
01175	3.928567744745314
01176	0.37739561316960746
01177	3.845369560686728
01178	3.760995834505351
01179	4.739317612250172
01180	1.8363658114458783
01181	0.8603715528544953
01182	10.736987070479485
01183	2.8629754740039113
01184	2.8629754740039113
01185	3.900305582899399
01186	9.90475976065129
01187	3.4781816232977385
01188	5.494966600698753
01189	6.791662043134287
01190	5.583159789752342
01191	5.5814700887189765
01192	-2.5772159792987517
01193	-4.329999861017793
01194	-1.190394937037097
01195	-0.2683688351270397
01196	-4.147550453762368
