dose	repl	1	2	3	4	5	6	7	8	9	20
100 µg/mL	1	0.049	0.051	0.061	0.089	0.112	0.149	0.176	0.193	0.218	0.21
100 µg/mL	2	0.048	0.05	0.06	0.086	0.108	0.141	0.162	0.18	0.216	0.215
100 µg/mL	3	0.048	0.052	0.6	0.87	0.11	0.146	0.17	0.185	0.217	0.213
50 µg/mL	1	0.048	0.053	0.064	0.093	0.118	0.153	0.174	0.189	0.214	0.222
50 µg/mL	2	0.049	0.05	0.057	0.087	0.11	0.141	0.167	0.183	0.197	0.219
50 µg/mL	3	0.047	0.05	0.06	0.09	0.111	0.145	0.17	0.185	0.2	0.22
25 µg/mL	1	0.051	0.053	0.069	0.1	0.135	0.167	0.195	0.21	0.221	0.216
25 µg/mL	2	0.05	0.051	0.062	0.092	0.124	0.156	0.184	0.202	0.211	0.219
25 µg/mL	3	0.052	0.051	0.065	0.098	0.13	0.16	0.19	0.21	0.22	0.217
12.5 µg/mL	1	0.051	0.052	0.069	0.101	0.129	0.166	0.194	0.21	0.213	0.214
12.5 µg/mL	2	0.05	0.052	0.067	0.097	0.129	0.162	0.199	0.222	0.233	0.215
12.5 µg/mL	3	0.05	0.053	0.067	0.1	0.128	0.163	0.195	0.22	0.215	0.216
6.25 µg/mL	1	0.051	0.054	0.073	0.104	0.132	0.167	0.196	0.212	0.214	0.224
6.25 µg/mL	2	0.05	0.053	0.069	0.099	0.132	0.17	0.206	0.229	0.238	0.221
6.25 µg/mL	3	0.052	0.055	0.07	0.101	0.133	0.169	0.198	0.215	0.22	0.22
3.13 µg/mL	1	0.051	0.057	0.071	0.105	0.132	0.168	0.196	0.216	0.22	0.237
3.13 µg/mL	2	0.052	0.055	0.072	0.101	0.133	0.169	0.195	0.211	0.221	0.217
3.13 µg/mL	3	0.05	0.056	0.07	0.103	0.131	0.168	0.196	0.212	0.221	0.222
Control (sin tratamiento)	1	0.052	0.056	0.074	0.115	0.159	0.213	0.229	0.26	0.244	0.25
Control (sin tratamiento)	2	0.052	0.056	0.073	0.107	0.149	0.201	0.222	0.252	0.239	0.247
Control (sin tratamiento)	3	0.051	0.055	0.7	0.11	0.15	0.208	0.225	0.259	0.24	0.251
