dose	repl	1	2	3	4	5	6	7	8	9	20
100 µg/mL	1	0.047	0.051	0.069	0.1	0.133	0.153	0.18	0.214	0.284	0.442
100 µg/mL	2	0.051	0.055	0.072	0.112	0.154	0.174	0.198	0.228	0.314	0.448
100 µg/mL	3	0.05	0.052	0.07	0.105	0.135	0.16	0.185	0.22	0.29	0.441
50 µg/mL	1	0.049	0.055	0.072	0.106	0.134	0.157	0.174	0.202	0.243	0.464
50 µg/mL	2	0.053	0.057	0.074	0.112	0.147	0.176	0.205	0.235	0.285	0.464
50 µg/mL	3	0.051	0.056	0.074	0.108	0.136	0.165	0.18	0.22	0.26	0.463
25 µg/mL	1	0.052	0.057	0.077	0.112	0.137	0.16	0.179	0.203	0.239	0.439
25 µg/mL	2	0.051	0.059	0.081	0.118	0.152	0.179	0.203	0.232	0.269	0.44
25 µg/mL	3	0.05	0.058	0.079	0.115	0.142	0.165	0.18	0.21	0.245	0.431
12.5 µg/mL	1	0.052	0.06	0.079	0.121	0.151	0.166	0.188	0.207	0.242	0.447
12.5 µg/mL	2	0.052	0.06	0.083	0.122	0.158	0.178	0.199	0.229	0.268	0.453
12.5 µg/mL	3	0.05	0.06	0.08	0.121	0.158	0.17	0.189	0.201	0.25	0.449
6.25 µg/mL	1	0.052	0.06	0.081	0.121	0.154	0.169	0.192	0.21	0.238	0.445
6.25 µg/mL	2	0.057	0.059	0.082	0.121	0.162	0.185	0.199	0.224	0.255	0.459
6.25 µg/mL	3	0.05	0.06	0.08	0.12	0.155	0.17	0.19	0.24	0.24	0.446
3.13 µg/mL	1	0.052	0.058	0.081	0.115	0.148	0.163	0.184	0.199	0.221	0.409
3.13 µg/mL	2	0.051	0.06	0.086	0.122	0.169	0.188	0.203	0.218	0.243	0.464
3.13 µg/mL	3	0.05	0.06	0.08	0.117	0.155	0.17	0.19	0.21	0.23	410
Control (sin tratamiento)	1	0.053	0.061	0.082	0.126	0.174	0.209	0.235	0.242	0.272	0.537
Control (sin tratamiento)	2	0.052	0.06	0.082	0.129	0.183	0.211	0.228	0.237	0.299	0.51
Control (sin tratamiento)	3	0.05	0.06	0.08	0.127	0.178	0.209	0.23	0.239	0.282	0.523
