dose	repl	time	od_value
100 µg/mL	1	1	0.049
100 µg/mL	2	1	0.048
100 µg/mL	3	1	0.048
50 µg/mL	1	1	0.048
50 µg/mL	2	1	0.049
50 µg/mL	3	1	0.047
25 µg/mL	1	1	0.051
25 µg/mL	2	1	0.05
25 µg/mL	3	1	0.052
12.5 µg/mL	1	1	0.051
12.5 µg/mL	2	1	0.05
12.5 µg/mL	3	1	0.05
6.25 µg/mL	1	1	0.051
6.25 µg/mL	2	1	0.05
6.25 µg/mL	3	1	0.052
3.13 µg/mL	1	1	0.051
3.13 µg/mL	2	1	0.052
3.13 µg/mL	3	1	0.05
Control	1	1	0.052
Control	2	1	0.052
Control	3	1	0.051
100 µg/mL	1	2	0.051
100 µg/mL	2	2	0.05
100 µg/mL	3	2	0.052
50 µg/mL	1	2	0.053
50 µg/mL	2	2	0.05
50 µg/mL	3	2	0.05
25 µg/mL	1	2	0.053
25 µg/mL	2	2	0.051
25 µg/mL	3	2	0.051
12.5 µg/mL	1	2	0.052
12.5 µg/mL	2	2	0.052
12.5 µg/mL	3	2	0.053
6.25 µg/mL	1	2	0.054
6.25 µg/mL	2	2	0.053
6.25 µg/mL	3	2	0.055
3.13 µg/mL	1	2	0.057
3.13 µg/mL	2	2	0.055
3.13 µg/mL	3	2	0.056
Control	1	2	0.056
Control	2	2	0.056
Control	3	2	0.055
100 µg/mL	1	3	0.061
100 µg/mL	2	3	0.06
100 µg/mL	3	3	0.06
50 µg/mL	1	3	0.064
50 µg/mL	2	3	0.057
50 µg/mL	3	3	0.06
25 µg/mL	1	3	0.069
25 µg/mL	2	3	0.062
25 µg/mL	3	3	0.065
12.5 µg/mL	1	3	0.069
12.5 µg/mL	2	3	0.067
12.5 µg/mL	3	3	0.067
6.25 µg/mL	1	3	0.073
6.25 µg/mL	2	3	0.069
6.25 µg/mL	3	3	0.07
3.13 µg/mL	1	3	0.071
3.13 µg/mL	2	3	0.072
3.13 µg/mL	3	3	0.07
Control	1	3	0.074
Control	2	3	0.073
Control	3	3	0.07
100 µg/mL	1	4	0.089
100 µg/mL	2	4	0.086
100 µg/mL	3	4	0.087
50 µg/mL	1	4	0.093
50 µg/mL	2	4	0.087
50 µg/mL	3	4	0.09
25 µg/mL	1	4	0.1
25 µg/mL	2	4	0.092
25 µg/mL	3	4	0.098
12.5 µg/mL	1	4	0.101
12.5 µg/mL	2	4	0.097
12.5 µg/mL	3	4	0.1
6.25 µg/mL	1	4	0.104
6.25 µg/mL	2	4	0.099
6.25 µg/mL	3	4	0.101
3.13 µg/mL	1	4	0.105
3.13 µg/mL	2	4	0.101
3.13 µg/mL	3	4	0.103
Control	1	4	0.115
Control	2	4	0.107
Control	3	4	0.11
100 µg/mL	1	5	0.112
100 µg/mL	2	5	0.108
100 µg/mL	3	5	0.11
50 µg/mL	1	5	0.118
50 µg/mL	2	5	0.11
50 µg/mL	3	5	0.111
25 µg/mL	1	5	0.135
25 µg/mL	2	5	0.124
25 µg/mL	3	5	0.13
12.5 µg/mL	1	5	0.129
12.5 µg/mL	2	5	0.129
12.5 µg/mL	3	5	0.128
6.25 µg/mL	1	5	0.132
6.25 µg/mL	2	5	0.132
6.25 µg/mL	3	5	0.133
3.13 µg/mL	1	5	0.132
3.13 µg/mL	2	5	0.133
3.13 µg/mL	3	5	0.131
Control	1	5	0.159
Control	2	5	0.149
Control	3	5	0.15
100 µg/mL	1	6	0.149
100 µg/mL	2	6	0.141
100 µg/mL	3	6	0.146
50 µg/mL	1	6	0.153
50 µg/mL	2	6	0.141
50 µg/mL	3	6	0.145
25 µg/mL	1	6	0.167
25 µg/mL	2	6	0.156
25 µg/mL	3	6	0.16
12.5 µg/mL	1	6	0.166
12.5 µg/mL	2	6	0.162
12.5 µg/mL	3	6	0.163
6.25 µg/mL	1	6	0.167
6.25 µg/mL	2	6	0.17
6.25 µg/mL	3	6	0.169
3.13 µg/mL	1	6	0.168
3.13 µg/mL	2	6	0.169
3.13 µg/mL	3	6	0.168
Control	1	6	0.213
Control	2	6	0.201
Control	3	6	0.208
100 µg/mL	1	7	0.176
100 µg/mL	2	7	0.162
100 µg/mL	3	7	0.17
50 µg/mL	1	7	0.174
50 µg/mL	2	7	0.167
50 µg/mL	3	7	0.17
25 µg/mL	1	7	0.195
25 µg/mL	2	7	0.184
25 µg/mL	3	7	0.19
12.5 µg/mL	1	7	0.194
12.5 µg/mL	2	7	0.199
12.5 µg/mL	3	7	0.195
6.25 µg/mL	1	7	0.196
6.25 µg/mL	2	7	0.206
6.25 µg/mL	3	7	0.198
3.13 µg/mL	1	7	0.196
3.13 µg/mL	2	7	0.195
3.13 µg/mL	3	7	0.196
Control	1	7	0.229
Control	2	7	0.222
Control	3	7	0.225
100 µg/mL	1	8	0.193
100 µg/mL	2	8	0.18
100 µg/mL	3	8	0.185
50 µg/mL	1	8	0.189
50 µg/mL	2	8	0.183
50 µg/mL	3	8	0.185
25 µg/mL	1	8	0.21
25 µg/mL	2	8	0.202
25 µg/mL	3	8	0.21
12.5 µg/mL	1	8	0.21
12.5 µg/mL	2	8	0.222
12.5 µg/mL	3	8	0.22
6.25 µg/mL	1	8	0.212
6.25 µg/mL	2	8	0.229
6.25 µg/mL	3	8	0.215
3.13 µg/mL	1	8	0.216
3.13 µg/mL	2	8	0.211
3.13 µg/mL	3	8	0.212
Control	1	8	0.26
Control	2	8	0.252
Control	3	8	0.259
100 µg/mL	1	9	0.218
100 µg/mL	2	9	0.216
100 µg/mL	3	9	0.217
50 µg/mL	1	9	0.214
50 µg/mL	2	9	0.197
50 µg/mL	3	9	0.2
25 µg/mL	1	9	0.221
25 µg/mL	2	9	0.211
25 µg/mL	3	9	0.22
12.5 µg/mL	1	9	0.213
12.5 µg/mL	2	9	0.233
12.5 µg/mL	3	9	0.215
6.25 µg/mL	1	9	0.214
6.25 µg/mL	2	9	0.238
6.25 µg/mL	3	9	0.22
3.13 µg/mL	1	9	0.22
3.13 µg/mL	2	9	0.221
3.13 µg/mL	3	9	0.221
Control	1	9	0.244
Control	2	9	0.239
Control	3	9	0.24
100 µg/mL	1	20	0.21
100 µg/mL	2	20	0.215
100 µg/mL	3	20	0.213
50 µg/mL	1	20	0.222
50 µg/mL	2	20	0.219
50 µg/mL	3	20	0.22
25 µg/mL	1	20	0.216
25 µg/mL	2	20	0.219
25 µg/mL	3	20	0.217
12.5 µg/mL	1	20	0.214
12.5 µg/mL	2	20	0.215
12.5 µg/mL	3	20	0.216
6.25 µg/mL	1	20	0.224
6.25 µg/mL	2	20	0.221
6.25 µg/mL	3	20	0.22
3.13 µg/mL	1	20	0.237
3.13 µg/mL	2	20	0.217
3.13 µg/mL	3	20	0.222
Control	1	20	0.25
Control	2	20	0.247
Control	3	20	0.251
