dose	repl	1	2	3	4	5	6	7	8	9	20
100 µg/mL	1	0.048	0.05	0.06	0.086	0.103	0.14	0.161	0.179	0.198	0.182
100 µg/mL	2	0.049	0.051	0.062	0.086	0.109	0.145	0.165	0.187	0.195	0.165
100 µg/mL	3	0.047	0.052	0.061	0.085	0.107	0.143	0.164	0.181	0.199	0.163
50 µg/mL	1	0.048	0.05	0.058	0.089	0.113	0.14	0.168	0.184	0.197	0.174
50 µg/mL	2	0.048	0.049	0.058	0.085	0.107	0.137	0.163	0.178	0.195	0.169
50 µg/mL	3	0.047	0.049	0.057	0.087	0.11	0.138	0.165	0.18	0.196	0.176
25 µg/mL	1	0.05	0.052	0.063	0.095	0.123	0.15	0.177	0.196	0.208	0.189
25 µg/mL	2	0.05	0.051	0.061	0.093	0.12	0.15	0.18	0.198	0.209	0.185
25 µg/mL	3	0.05	0.052	0.063	0.094	0.121	0.152	0.179	0.198	0.21	0.186
12.5 µg/mL	1	0.05	0.052	0.067	0.097	0.127	0.161	0.189	0.206	0.215	0.211
12.5 µg/mL	2	0.05	0.052	0.065	0.096	0.124	0.158	0.185	0.201	0.213	0.191
12.5 µg/mL	3	0.05	0.051	0.066	0.097	0.125	0.16	0.186	0.205	0.214	0.192
6.25 µg/mL	1	0.052	0.053	0.07	0.101	0.134	0.167	0.194	0.209	0.219	0.207
6.25 µg/mL	2	0.051	0.051	0.067	0.097	0.13	0.165	0.192	0.207	0.215	0.196
6.25 µg/mL	3	0.05	0.05	0.07	0.098	0.131	0.167	0.192	0.208	0.217	0.196
3.13 µg/mL	1	0.051	0.052	0.069	0.101	0.127	0.16	0.189	0.202	0.21	0.202
3.13 µg/mL	2	0.05	0.051	0.07	0.097	0.126	0.162	0.19	0.216	0.227	0.203
3.13 µg/mL	3	0.05	0.053	0.071	0.1	0.128	0.162	0.189	0.21	0.215	0.203
Control (sin tratamiento)	1	0.052	0.057	0.075	0.113	0.151	0.18	0.2	0.242	0.25	0.25
Control (sin tratamiento)	2	0.053	0.057	0.074	0.109	0.145	0.195	0.221	0.239	0.23	0.24
Control (sin tratamiento)	3	0.05	0.056	0.073	0.112	0.148	0.189	0.21	0.24	0.24	0.24
